regulator	target_candidate	ortholog_module_status	ME	PE
BSU17850	BSU04039	0	0	0
BSU17850	BSU04040	0	0	0
BSU17850	BSU04050	0	0	0
BSU17850	BSU04060	0	0	0
BSU17850	BSU04070	0	0	0
BSU17850	BSU04080	0	0	0
BSU17850	BSU04090	0	0	0
BSU17850	BSU04100	0	0	0
BSU17850	BSU04110	0	0	0
BSU17850	BSU04120	0	0	0
BSU17850	BSU04130	0	0	0
BSU17850	BSU04140	1	0	0
BSU17850	BSU04150	1	0	0
BSU17850	BSU04160	0	0	0
BSU17850	BSU04170	0	0	0
BSU17850	BSU04180	1	0	0
BSU17850	BSU04190	0	0	0
BSU17850	BSU04200	0	0	0
BSU17850	BSU04210	1	0	0
BSU17850	BSU04220	1	0	0
BSU17850	BSU04230	0	0	0
BSU17850	BSU04240	0	0	0
BSU17850	BSU04250	0	0	0
BSU17850	BSU04260	1	0	0
BSU17850	BSU04270	1	0	0
BSU17850	BSU04280	0	0	0
BSU17850	BSU04290	0	0	0
BSU17850	BSU04300	1	0	0
BSU17850	BSU04310	1	0	0
BSU17850	BSU04320	1	0	0
BSU17850	BSU04330	1	0	0
BSU17850	BSU04340	1	0	0
BSU17850	BSU04359	0	0	0
BSU17850	BSU04360	1	0	0
BSU17850	BSU04370	0	0	0
BSU17850	BSU04380	1	0	0
BSU17850	BSU04390	0	0	0
BSU17850	BSU04400	0	0	0
BSU17850	BSU04410	0	0	0
BSU17850	BSU04420	0	0	0
BSU17850	BSU04430	0	0	0
BSU17850	BSU04440	0	0	0
BSU17850	BSU04450	0	0	0
BSU17850	BSU04460	0	0	0
BSU17850	BSU04470	0	0	0
BSU17850	BSU04480	1	0	1
BSU17850	BSU04490	0	0	0
BSU17850	BSU04500	0	0	0
BSU17850	BSU04510	0	0	0
BSU17850	BSU04520	0	0	0
BSU17850	BSU04530	0	0	0
BSU17850	BSU04540	1	0	0
BSU17850	BSU04550	0	0	0
BSU17850	BSU04560	1	0	0
BSU17850	BSU04570	1	0	0
BSU17850	BSU04580	1	0	0
BSU17850	BSU04590	1	0	0
BSU17850	BSU04600	1	0	0
BSU17850	BSU04610	0	0	0
BSU17850	BSU04620	1	0	0
BSU17850	BSU04630	0	0	0
BSU17850	BSU04640	1	0	0
BSU17850	BSU04650	1	0	0
BSU17850	BSU04660	1	0	0
BSU17850	BSU04670	1	0	0
BSU17850	BSU04680	1	0	0
BSU17850	BSU04690	1	0	0
BSU17850	BSU04700	1	0	0
BSU17850	BSU04710	1	0	0
BSU17850	BSU04720	1	0	0
BSU17850	BSU04730	1	0	0
BSU17850	BSU04740	1	0	0
BSU17850	BSU04750	0	0	0
BSU17850	BSU04760	0	0	0
BSU17850	BSU04770	0	0	0
BSU17850	BSU04780	1	0	0
BSU17850	BSU04790	1	0	0
BSU17850	BSU04800	1	0	0
BSU17850	BSU04810	0	0	0
BSU17850	BSU04820	0	0	0
BSU17850	BSU04830	0	0	0
BSU17850	BSU04839	0	0	0
BSU17850	BSU04840	0	0	0
BSU17850	BSU04850	1	0	0
BSU17850	BSU04860	1	0	0
BSU17850	BSU04870	1	0	0
BSU17850	BSU04880	0	0	0
BSU17850	BSU04890	0	0	0
BSU17850	BSU04900	1	0	0
BSU17850	BSU04910	0	0	0
BSU17850	BSU04920	0	0	0
BSU17850	BSU04930	0	0	0
BSU17850	BSU04940	1	0	0
BSU17850	BSU04950	0	0	0
BSU17850	BSU04960	1	0	0
BSU17850	BSU04970	1	0	0
BSU17850	BSU04980	0	0	0
BSU17850	BSU04990	0	0	0
BSU17850	BSU05000	0	0	0
BSU17850	BSU05010	0	0	0
BSU17850	BSU05020	0	0	0
BSU17850	BSU05030	0	0	0
BSU17850	BSU05040	0	0	0
BSU17850	BSU05050	0	0	0
BSU17850	BSU05060	0	0	0
BSU17850	BSU05070	1	0	0
BSU17850	BSU05080	0	0	0
BSU17850	BSU05090	0	0	0
BSU17850	BSU05099	0	0	0
BSU17850	BSU05100	0	0	0
BSU17850	BSU05109	0	0	0
BSU17850	BSU05110	0	0	0
BSU17850	BSU05120	1	0	0
BSU17850	BSU05130	0	0	0
BSU17850	BSU05140	0	0	0
BSU17850	BSU05150	1	0	0
BSU17850	BSU05160	0	0	0
BSU17850	BSU05170	1	0	0
BSU17850	BSU05180	0	0	0
BSU17850	BSU05190	0	0	0
BSU17850	BSU05200	0	0	0
BSU17850	BSU05210	1	0	0
BSU17850	BSU05220	0	0	0
BSU17850	BSU05230	0	0	0
BSU17850	BSU05240	0	0	0
BSU17850	BSU05250	0	0	0
BSU17850	BSU05260	0	0	0
BSU17850	BSU05270	0	1	0
BSU17850	BSU05280	0	1	0
BSU17850	BSU05290	0	0	0
BSU17850	BSU05300	0	0	0
BSU17850	BSU05310	0	0	0
BSU17850	BSU05320	0	0	0
BSU17850	BSU05329	0	0	0
BSU17850	BSU05330	0	0	0
BSU17850	BSU05340	1	0	0
BSU17850	BSU05350	0	0	0
BSU17850	BSU05360	0	0	0
BSU17850	BSU05370	1	0	0
BSU17850	BSU05380	1	0	0
BSU17850	BSU05390	0	0	0
BSU17850	BSU05400	0	0	0
BSU17850	BSU05408	0	0	0
BSU17850	BSU05409	0	0	0
BSU17850	BSU05410	0	0	0
BSU17850	BSU05420	0	0	0
BSU17850	BSU05430	1	1	0
BSU17850	BSU05440	0	0	0
BSU17850	BSU05450	1	0	0
BSU17850	BSU05460	1	0	0
BSU17850	BSU05470	0	0	0
BSU17850	BSU05480	0	0	0
BSU17850	BSU05490	0	0	0
BSU17850	BSU05500	0	0	0
BSU17850	BSU05510	0	0	0
BSU17850	BSU05520	0	0	0
BSU17850	BSU05529	0	0	0
BSU17850	BSU05530	0	0	0
BSU17850	BSU05540	0	0	0
BSU17850	BSU05550	0	0	0
BSU17850	BSU05560	0	0	0
BSU17850	BSU05570	0	0	0
BSU17850	BSU05580	0	0	0
BSU17850	BSU05590	0	0	0
BSU17850	BSU05600	1	0	0
BSU17850	BSU05610	0	0	0
BSU17850	BSU05620	1	0	0
BSU17850	BSU05630	0	0	0
BSU17850	BSU05640	0	0	0
BSU17850	BSU05650	1	0	0
BSU17850	BSU05660	1	0	0
BSU17850	BSU05670	1	0	0
BSU17850	BSU05680	1	0	0
BSU17850	BSU05690	0	0	0
BSU17850	BSU05700	0	0	0
BSU17850	BSU05710	0	0	0
BSU17850	BSU05720	0	0	0
BSU17850	BSU05730	0	0	0
BSU17850	BSU05740	0	0	0
BSU17850	BSU05750	1	0	0
BSU17850	BSU05760	0	0	0
BSU17850	BSU05770	0	0	0
BSU17850	BSU05780	1	0	0
BSU17850	BSU05790	0	0	0
BSU17850	BSU05800	0	0	0
BSU17850	BSU05810	0	0	0
BSU17850	BSU05820	0	0	0
BSU17850	BSU05830	1	0	0
BSU17850	BSU05840	1	0	0
BSU17850	BSU05850	1	0	0
BSU17850	BSU05860	1	0	0
BSU17850	BSU05870	1	0	0
BSU17850	BSU05880	0	0	0
BSU17850	BSU05900	0	1	0
BSU17850	BSU05910	1	0	0
BSU17850	BSU05920	1	0	0
BSU17850	BSU05930	1	0	0
BSU17850	BSU05940	1	0	0
BSU17850	BSU05950	1	0	0
BSU17850	BSU05960	1	0	0
BSU17850	BSU05970	1	0	0
BSU17850	BSU05980	1	0	0
BSU17850	BSU05990	1	0	0
BSU17850	BSU06000	0	0	0
BSU17850	BSU06010	1	0	0
BSU17850	BSU06020	1	0	0
